ProjectNumber,BudgetYear,CostType,CostAmount
4945,2015,Labor,31589.18
4945,2015,Material,5778.7
4945,2016,Labor,42165.7
4945,2016,Material,4192.23
4945,2017,Labor,63238.12
4945,2017,Material,36328.28
4945,2018,Labor,2410.11
4945,2018,Material,8655
4945,2019,Labor,1783.32
4946,2002,Labor,4354.17
4946,2002,Material,36826.99
4946,2003,Labor,11976.45
4946,2003,Material,7830.96
4946,2004,Labor,38275.52
4946,2004,Material,10544.08
4946,2005,Labor,10209.35
4946,2005,Material,150963.58
4946,2006,Labor,29019.92
4946,2006,Material,350412.33
4946,2007,Labor,2581.92
4946,2007,Material,9370.06
4948,2002,Material,219907.64
4948,2003,Labor,569.48
4948,2003,Material,25.2
4949,2002,Labor,51.93
4949,2002,Material,21.61
4949,2003,Material,471502
4949,2004,Labor,377.07
4950,2002,Material,35625.72
4950,2003,Labor,724.35
4950,2004,Labor,261.93
4950,2004,Material,334.27
4952,2002,Material,50544.46
4953,2002,Labor,785.96
4953,2003,Labor,2033.81
4955,2002,Labor,1880.83
4955,2002,Material,72687.28
4955,2003,Labor,5533.75
4955,2003,Material,37132.43
4955,2004,Labor,483.45
4956,2002,Material,338.02
4956,2003,Labor,5047.33
4956,2004,Labor,1840.3
4956,2005,Labor,54433.89
4956,2005,Material,24115
4956,2006,Labor,28440.1
4956,2006,Material,39243.62
4956,2007,Labor,2505.01
4958,2002,Labor,257.41
4958,2002,Material,85755.53
4958,2003,Labor,28352.64
4958,2003,Material,92801.15
4958,2004,Labor,34877.3
4958,2004,Material,160186.63
4960,2002,Labor,1724.24
4960,2002,Material,1029280.8
4960,2003,Labor,10034.57
4960,2003,Material,32052
4960,2004,Labor,3379.01
4960,2004,Material,353.72
4960,2005,Labor,3747.06
4963,2002,Labor,11166.61
4963,2002,Material,36929.38
4963,2003,Labor,29655.09
4963,2003,Material,43885.68
4963,2004,Labor,4943.77
4963,2004,Material,7267.67
4963,2005,Labor,2436.23
4963,2005,Material,14834.3
4963,2006,Labor,2191.99
4963,2006,Material,29525.24
4963,2007,Labor,2699.38
4963,2007,Material,26732.3
4963,2008,Labor,1127.86
4963,2008,Material,17995.97
4963,2009,Labor,204.83
4963,2009,Material,13825.95
4963,2010,Labor,636.11
4963,2010,Material,25322.33
4963,2011,Labor,61.62
4963,2011,Material,6769.66
4964,2002,Material,3133.9
4969,2002,Material,161487.82
4969,2003,Labor,45583.18
4969,2003,Material,8402.79
4969,2004,Labor,209469.74
4969,2004,Material,1555334.79
4969,2005,Labor,249741.6
4969,2005,Material,2311965.05
4969,2006,Labor,402476.16
4969,2006,Material,8736866.58
4969,2007,Labor,379658.33
4969,2007,Material,17397239.55
4969,2008,Labor,353024
4969,2008,Material,9561402.37
4969,2009,Labor,250326.2
4969,2009,Material,2092895.03
4969,2010,Labor,52562.28
4969,2010,Material,226864.68
4969,2011,Labor,2608.86
4969,2011,Material,2158.4
4969,2012,Material,-224.88
4970,2002,Labor,5525.01
4970,2002,Material,2132550.33
4970,2003,Material,863.25
4971,2002,Material,10000
4972,2002,Labor,959.76
4972,2002,Material,30520.45
4972,2003,Labor,1754.37
4973,2002,Material,108214.02
4974,2002,Labor,11189.43
4974,2002,Material,165904.66
4974,2003,Labor,51168.27
4974,2003,Material,79238.26
4974,2004,Labor,115293.52
4974,2004,Material,132110.82
4974,2005,Labor,43538.31
4974,2005,Material,125205.97
4974,2006,Labor,25384.55
4974,2006,Material,60540
4974,2007,Labor,7432.32
4975,2002,Labor,948.23
4975,2003,Labor,3260.69
4975,2004,Labor,2404.14
4975,2004,Material,19.08
4979,2002,Labor,2371.85
4979,2002,Material,2489070.9
4979,2003,Material,59907.14
4980,2002,Material,68.99
4980,2003,Labor,27.49
4981,2002,Labor,1244.52
4981,2002,Material,66624.64
4981,2003,Labor,12082.75
4981,2003,Material,4702.22
4981,2004,Labor,6990.72
4981,2005,Labor,0
4982,2002,Material,7050
4983,2002,Labor,2790
4983,2002,Material,27964.66
4983,2003,Labor,13376.27
4983,2003,Material,106111.68
4983,2004,Material,-11600
4984,2002,Labor,16307.99
4984,2002,Material,495145.4
4984,2003,Labor,57325.18
4984,2003,Material,3016365.01
4984,2004,Labor,24784.47
4984,2004,Material,80302.64
4985,2002,Material,105883.29
4986,2002,Labor,4351.05
4986,2002,Material,124258.26
4986,2003,Labor,133.31
4986,2004,Labor,124.87
4987,2002,Labor,7379.02
4987,2002,Material,18007.09
4987,2003,Labor,6944.61
4987,2003,Material,13347
4987,2004,Labor,19299.8
4987,2004,Material,207105.29
4987,2005,Labor,334.72
4988,2002,Labor,1331.14
4988,2002,Material,73490.71
4989,2004,Labor,0.01
4991,2002,Material,145.09
4991,2004,Labor,401.36
4991,2005,Labor,5755.86
4991,2006,Labor,101.3
4991,2006,Material,422237.95
4992,2002,Labor,875.24
4993,2002,Material,373252.66
4994,2002,Labor,16961.02
4994,2002,Material,283515.69
4994,2003,Labor,4395.35
4994,2003,Material,64813
4994,2005,Labor,123.75
4995,2002,Labor,4838.69
4995,2002,Material,384006.35
4995,2003,Labor,24314.46
4995,2003,Material,64726.27
4995,2004,Labor,37636.17
4995,2004,Material,4765.23
4995,2005,Labor,4066.47
4995,2005,Material,69300
4996,2002,Material,2250
4996,2005,Material,35.7
4997,2002,Material,35031.43
4997,2003,Labor,1472.86
4997,2003,Material,24484.84
4997,2004,Labor,16487.64
4997,2004,Material,14663.83
4998,2004,Labor,98.98
4999,2002,Labor,11610.92
4999,2002,Material,145078.37
4999,2003,Labor,17224.96
4999,2004,Labor,24140.28
6000,2002,Labor,17.31
6000,2002,Material,150488.79
6000,2003,Labor,1043.44
6000,2003,Material,70131.5
6000,2004,Labor,8568.75
6000,2004,Material,13051.74
6000,2005,Labor,30.38
6000,2005,Material,16327
6001,2002,Labor,2061.57
6001,2002,Material,8772.93
6001,2003,Labor,14725.24
6001,2003,Material,90584.37
6001,2004,Labor,3411.7
6001,2004,Material,2525.03
6002,2002,Labor,1588.3
6002,2002,Material,49276.41
6003,2002,Labor,233.13
6003,2002,Material,23354.21
6003,2003,Labor,52.91
6004,2002,Material,2698.31
6006,2002,Material,33960.65
6007,2002,Material,188.21
6008,2004,Labor,34794.04
6008,2004,Material,2083.57
6008,2005,Labor,26576.77
6008,2005,Material,188467.73
6008,2006,Labor,28305.39
6008,2006,Material,129324.2
6008,2007,Labor,13282.2
6008,2007,Material,100145.8
6008,2008,Labor,0
6009,2002,Labor,4724.79
6009,2002,Material,468781.23
6009,2003,Labor,455.86
6009,2003,Material,186.76
6009,2004,Labor,272.99
6009,2005,Labor,1200.84
6010,2002,Labor,3648.72
6010,2002,Material,32331.58
6010,2003,Material,6463.78
6010,2004,Labor,27574.27
6010,2004,Material,592628.8
6010,2005,Labor,2506.21
6010,2005,Material,31064.6
6010,2006,Material,800
6010,2007,Material,0
6011,2002,Material,988.5
6011,2003,Material,2134
6012,2002,Labor,748.22
6012,2002,Material,44894.87
6012,2003,Labor,2452.27
6012,2003,Material,8544.44
6012,2004,Labor,4305.58
6012,2005,Labor,5948.13
6012,2006,Labor,1770.38
6012,2007,Labor,2128.71
6013,2002,Labor,4135.09
6013,2002,Material,355707.41
6013,2003,Material,16728.78
6013,2004,Material,-211.69
6014,2002,Material,243.8
6015,2002,Labor,177.04
6015,2002,Material,33262.72
6016,2002,Labor,50152.52
6016,2002,Material,169239.49
6016,2003,Labor,96467.55
6016,2003,Material,119679.48
6016,2004,Labor,99603.65
6016,2004,Material,91775.43
6016,2005,Labor,40637.19
6016,2005,Material,35459.52
6016,2006,Labor,6909.15
6016,2006,Material,33929
6017,2002,Labor,4890.65
6017,2002,Material,407946.31
6017,2003,Labor,788.76
6017,2004,Labor,877.98
6017,2004,Material,6910
6018,2002,Labor,94559.66
6018,2002,Material,49330.88
6018,2003,Labor,92321.56
6018,2003,Material,820.53
6018,2004,Labor,19217.26
6018,2004,Material,245.38
6018,2005,Labor,64737.28
6018,2005,Material,1120662.01
6018,2006,Labor,2402.68
6018,2006,Material,505.2
6019,2002,Labor,1689.22
6019,2002,Material,46344.67
6019,2003,Labor,1080.34
6019,2003,Material,12754.35
6019,2004,Labor,118.34
6019,2004,Material,9722.6
6019,2005,Labor,36480.28
6019,2005,Material,19088.38
6019,2006,Labor,52449.68
6019,2006,Material,3903.85
6019,2007,Labor,27783.01
6019,2008,Labor,12719.81
6020,2002,Material,14583.28
6021,2002,Material,205.87
6021,2006,Labor,512.44
6021,2008,Labor,10728.13
6022,2002,Labor,209.27
6022,2002,Material,190901.96
6022,2003,Labor,1121.97
6023,2002,Material,1058.19
6024,2002,Material,368.99
6024,2006,Labor,0
6025,2002,Material,47088.9
6027,2002,Labor,4956.76
6027,2002,Material,12543.95
6027,2003,Labor,22992.97
6027,2003,Material,235269.7
6027,2004,Labor,399.1
6027,2004,Material,935
6028,2002,Labor,463.62
6028,2002,Material,10285.71
6028,2003,Labor,1116.54
6028,2004,Labor,2409.67
6029,2002,Labor,168.97
6029,2002,Material,6534.28
6029,2003,Labor,54.98
6030,2002,Labor,52.83
6030,2002,Material,138.41
6030,2003,Labor,1200.1
6030,2004,Labor,4275.4
6030,2005,Labor,12632.5
6030,2005,Material,59875.81
6030,2006,Labor,29979.97
6030,2006,Material,214359.34
6030,2007,Labor,42659.25
6030,2007,Material,98291.33
6030,2008,Labor,61646.17
6030,2008,Material,3884493.54
6030,2009,Labor,21858.58
6030,2009,Material,1422391.03
