ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
1080,Fanno Creek - Greenway Park,2014,Salix lasiandra (Pacific Willow) - Bare Root,50,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2014,Pseudotsuga menziesii (Douglas Fir) - Bare Root,100,Pseudotsuga menziesii,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2014,Lonicera involucrata (Black Twinberry) - Bare Root,650,Lonicera involucrata,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2014,Salix sitchensis (Sitka Willow) - Bare Root,50,Salix sitchensis,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2014,Rubus spectabilis (Salmonberry) - Bare Root,100,Rubus spectabilis,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2014,Quercus garryana (Oregon White Oak) - Bare Root,150,Quercus garryana,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2014,Thuja plicata (Western red cedar) - Bare Root,200,Thuja plicata,Native Woody,Tree,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2014,Sambucus racemosa (Red Elderberry) - Bare Root,500,Sambucus racemosa,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2014,Pinus ponderosa (W.v.) (W. v. Ponderosa pine ) - Bare Root,50,Pinus ponderosa,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2014,Salix lasiandra (Pacific Willow) - Live Stakes (On-Site),300,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2014,Salix piperi (Piper Willow) - Live Stakes (On-Site),300,Salix piperi,Not Listed,Not Listed,Not Listed,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2014,Salix scouleriana (Scoulers Willow) - Live Stakes (On-Site),300,Salix scouleriana,Native Woody,Shrub,FAC,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2014,Salix sitchensis (Sitka Willow) - Live Stakes (On-Site),300,Salix sitchensis,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2014,Cornus sericea (Red osier dogwood) - Live Stakes (On-Site),800,Cornus sericea,Native Woody,Shrub,FACW,Live Stakes (On-Site)
1080,Fanno Creek - Greenway Park,2015,Cornus sericea (Red osier dogwood) - Bare Root,500,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Crataegus douglasii (Black Hawthorn) - Bare Root,500,Crataegus douglasii,Native Woody,Tree,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2015,Fraxinus latifolia (Oregon ash) - Bare Root,2000,Fraxinus latifolia,Native Woody,Tree,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Lonicera involucrata (Black Twinberry) - Bare Root,500,Lonicera involucrata,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2015,Malus fusca (Western crabapple) - Bare Root,25,Malus fusca,Native Woody,Tree,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Physocarpus capitatus (Pacific Ninebark) - Bare Root,650,Physocarpus capitatus,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Rosa pisocarpa (Swamp rose) - Bare Root,1000,Rosa pisocarpa,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2015,Spiraea douglasii (Douglas Spiraea) - Bare Root,1500,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Abies grandis (Grand fir) - Bare Root,100,Abies grandis,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2015,Cornus sericea (Red osier dogwood) - Bare Root,300,Cornus sericea,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Lonicera involucrata (Black Twinberry) - Bare Root,450,Lonicera involucrata,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2015,Physocarpus capitatus (Pacific Ninebark) - Bare Root,350,Physocarpus capitatus,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Quercus garryana (Oregon White Oak) - Bare Root,100,Quercus garryana,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2015,Rhamnus purshiana (Cascara) - Bare Root,500,Rhamnus purshiana,Native Woody,Tree,NI,Bare Root
1080,Fanno Creek - Greenway Park,2015,Rosa pisocarpa (Swamp rose) - Bare Root,400,Rosa pisocarpa,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2015,Rubus spectabilis (Salmonberry) - Bare Root,100,Rubus spectabilis,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2015,Spiraea douglasii (Douglas Spiraea) - Bare Root,300,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2015,Symphoricarpos albus (Common Snowberry) - Bare Root,400,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2015,Abies grandis (Grand fir) - Bare Root,500,Abies grandis,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2015,Acer macrophyllum (Bigleaf maple) - Bare Root,200,Acer macrophyllum,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2015,Quercus garryana (Oregon White Oak) - Bare Root,1000,Quercus garryana,Native Woody,Tree,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2015,Rhamnus purshiana (Cascara) - Bare Root,100,Rhamnus purshiana,Native Woody,Tree,NI,Bare Root
1080,Fanno Creek - Greenway Park,2015,Ribes sanguineum (Red flowering currant) - Bare Root,200,Ribes sanguineum,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2015,Rosa pisocarpa (Swamp rose) - Bare Root,500,Rosa pisocarpa,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2015,Spiraea douglasii (Douglas Spiraea) - Live Stakes,500,Spiraea douglasii,Native Woody,Shrub,FACW,Live Stakes
1080,Fanno Creek - Greenway Park,2016,Carex obnupta (Slough sedge) - Container,60,Carex obnupta,Native Herbaceous,Sedge,OBL,Container
1080,Fanno Creek - Greenway Park,2016,Cornus sericea (Red osier dogwood) - Container,50,Cornus sericea,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2016,Euonymus occidentalis (Western wahoo) - Container,60,Euonymus occidentalis,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2016,Fraxinus latifolia (Oregon ash) - Container,30,Fraxinus latifolia,Native Woody,Tree,FACW,Container
1080,Fanno Creek - Greenway Park,2016,Malus fusca (Western crabapple) - Container,40,Malus fusca,Native Woody,Tree,FACW,Container
1080,Fanno Creek - Greenway Park,2016,Physocarpus capitatus (Pacific Ninebark) - Container,60,Physocarpus capitatus,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2016,Quercus garryana (Oregon White Oak) - Container,20,Quercus garryana,Native Woody,Tree,FACU,Container
1080,Fanno Creek - Greenway Park,2016,Rosa pisocarpa (Swamp rose) - Container,200,Rosa pisocarpa,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2016,Rubus spectabilis (Salmonberry) - Container,100,Rubus spectabilis,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2016,Spiraea douglasii (Douglas Spiraea) - Container,75,Spiraea douglasii,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2016,Symphoricarpos albus (Common Snowberry) - Container,75,Symphoricarpos albus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2016,Carex obnupta (Slough sedge) - Container,249,Carex obnupta,Native Herbaceous,Sedge,OBL,Container
1080,Fanno Creek - Greenway Park,2016,Carex unilateralis (one sided sedge) - Container,50,Carex unilateralis,Native Herbaceous,Sedge,FACW,Container
1080,Fanno Creek - Greenway Park,2016,Juncus patens (Soft rush) - Container,100,Juncus patens,Native Herbaceous,Rush,FACW,Container
1080,Fanno Creek - Greenway Park,2016,Leersia oryzoides (rice cut grass) - Container,50,Leersia oryzoides,Native Herbaceous,Grass,OBL,Container
1080,Fanno Creek - Greenway Park,2016,Misc Herbaceous Spp - Container,57,Misc Herbaceous Spp,Not Listed,Not Listed,Not Listed,Container
1080,Fanno Creek - Greenway Park,2016,Salix geyeriana (Geyer Willow) - Container,500,Salix geyeriana,Native Woody,Shrub,FACW,Container
